Nutrient,Recommended,Tolerable
Energy (Atwater General Factors),0.0,0.0
Energy (Atwater Specific Factors),0.0,0.0
Solids,0.0,0.0
Nitrogen,0.0,0.0
Protein,56.0,0.0
Total lipid (fat),0.0,0.0
"Carbohydrate, by difference",0.0,0.0
"Fiber, crude (DO NOT USE - Archived)",0.0,0.0
Ash,0.0,0.0
Energy,0.0,0.0
Starch,0.0,0.0
Sucrose,0.0,0.0
Glucose,0.0,0.0
Fructose,0.0,0.0
Lactose,0.0,0.0
Maltose,0.0,0.0
Amylose,0.0,0.0
Amylopectin,0.0,0.0
Pectin,0.0,0.0
"Alcohol, ethyl",0.0,0.0
Pentosan,0.0,0.0
Pentoses,0.0,0.0
Hemicellulose,0.0,0.0
Cellulose,0.0,0.0
Organic acids,0.0,0.0
Acetic acid,0.0,0.0
Aconitic acid,0.0,0.0
Benzoic acid,0.0,0.0
Chelidonic acid,0.0,0.0
Chlorogenic acid,0.0,0.0
Cinnamic acid,0.0,0.0
Citric acid,0.0,0.0
Fumaric acid,0.0,0.0
Galacturonic acid,0.0,0.0
Gallic acid,0.0,0.0
Glycolic acid,0.0,0.0
Isocitric acid,0.0,0.0
Lactic acid,0.0,0.0
Malic acid,0.0,0.0
Oxaloacetic acid,0.0,0.0
Oxalic acid,0.0,0.0
Phytic acid,0.0,0.0
Pyruvic acid,0.0,0.0
Quinic acid,0.0,0.0
Salicylic acid,0.0,0.0
Succinic acid,0.0,0.0
Tartaric acid,0.0,0.0
Ursolic acid,0.0,0.0
"Solids, non-fat",0.0,0.0
"Carbohydrate, by summation",0.0,0.0
Water,0.0,0.0
Adjusted Nitrogen,0.0,0.0
Adjusted Protein,0.0,0.0
Piperine,0.0,0.0
Mannitol,0.0,0.0
Sorbitol,0.0,0.0
Caffeine,0.0,0.0
Theobromine,0.0,0.0
Nitrates,0.0,0.0
Nitrites,0.0,0.0
"Nitrosamine,total",0.0,0.0
Energy.1,0.0,0.0
"Sugars, Total",0.0,0.0
"Solids, soluble",0.0,0.0
Glycogen,0.0,0.0
"Fiber, neutral detergent (DO NOT USE - Archived)",0.0,0.0
Reducing sugars,0.0,0.0
Beta-glucans,0.0,0.0
Oligosaccharides,0.0,0.0
Nonstarch polysaccharides,0.0,0.0
Resistant starch,0.0,0.0
"Carbohydrate, other",0.0,0.0
Arabinose,0.0,0.0
Xylose,0.0,0.0
Galactose,0.0,0.0
Raffinose,0.0,0.0
Stachyose,0.0,0.0
Xylitol,0.0,0.0
"Fiber, total dietary",0.0,0.0
Lignin,0.0,0.0
Ribose,0.0,0.0
"Fiber, soluble",0.0,0.0
Theophylline,0.0,0.0
"Fiber, insoluble",0.0,0.0
Total fat (NLEA),0.0,0.0
Total sugar alcohols,0.0,0.0
"Calcium, Ca",0.0,0.0
"Chlorine, Cl",0.0,0.0
"Iron, Fe",0.0,0.0
"Magnesium, Mg",0.0,0.0
"Phosphorus, P",0.0,0.0
"Potassium, K",0.0,0.0
"Sodium, Na",0.0,0.0
"Sulfur, S",0.0,0.0
"Zinc, Zn",0.0,0.0
"Chromium, Cr",0.0,0.0
"Cobalt, Co",0.0,0.0
"Copper, Cu",0.0,0.0
"Fluoride, F",0.0,0.0
"Iodine, I",0.0,0.0
"Manganese, Mn",0.0,0.0
"Molybdenum, Mo",0.0,0.0
"Selenium, Se",0.0,0.0
"Vitamin A, IU",0.0,0.0
Retinol,0.0,0.0
"Vitamin A, RAE",0.0,0.0
"Carotene, beta",0.0,0.0
"Carotene, alpha",0.0,0.0
Vitamin E (alpha-tocopherol),0.0,0.0
"Vitamin D (D2 + D3), International Units",0.0,0.0
Vitamin D2 (ergocalciferol),0.0,0.0
Vitamin D3 (cholecalciferol),0.0,0.0
25-hydroxycholecalciferol,0.0,0.0
Vitamin D (D2 + D3),0.0,0.0
25-hydroxyergocalciferol,0.0,0.0
Phytoene,0.0,0.0
Phytofluene,0.0,0.0
"Carotene, gamma",0.0,0.0
Zeaxanthin,0.0,0.0
"Cryptoxanthin, beta",0.0,0.0
Lutein,0.0,0.0
Lycopene,0.0,0.0
Lutein + zeaxanthin,0.0,0.0
Vitamin E (label entry primarily),0.0,0.0
"Tocopherol, beta",0.0,0.0
"Tocopherol, gamma",0.0,0.0
"Tocopherol, delta",0.0,0.0
"Tocotrienol, alpha",0.0,0.0
"Tocotrienol, beta",0.0,0.0
"Tocotrienol, gamma",0.0,0.0
"Tocotrienol, delta",0.0,0.0
"Aluminum, Al",0.0,0.0
"Antimony, Sb",0.0,0.0
"Arsenic, As",0.0,0.0
"Barium, Ba",0.0,0.0
"Beryllium, Be",0.0,0.0
"Boron, B",0.0,0.0
"Bromine, Br",0.0,0.0
"Cadmium, Cd",0.0,0.0
"Gold, Au",0.0,0.0
"Iron, heme",0.0,0.0
"Iron, non-heme",0.0,0.0
"Lead, Pb",0.0,0.0
"Lithium, Li",0.0,0.0
"Mercury, Hg",0.0,0.0
"Nickel, Ni",0.0,0.0
"Rubidium, Rb",0.0,0.0
Fluoride - DO NOT USE; use 313,0.0,0.0
"Salt, NaCl",0.0,0.0
"Silicon, Si",0.0,0.0
"Silver, Ag",0.0,0.0
"Strontium, Sr",0.0,0.0
"Tin, Sn",0.0,0.0
"Titanium, Ti",0.0,0.0
"Vanadium, V",0.0,0.0
"Vitamin A, RE",0.0,0.0
Carotene,0.0,0.0
Vitamin E,0.0,0.0
cis-beta-Carotene,0.0,0.0
cis-Lycopene,0.0,0.0
cis-Lutein/Zeaxanthin,0.0,0.0
"Vitamin C, total ascorbic acid",0.0,0.0
"Vitamin C, reduced ascorbic acid",0.0,0.0
"Vitamin C, dehydro ascorbic acid",0.0,0.0
Thiamin,0.0,0.0
Riboflavin,0.0,0.0
Niacin,0.0,0.0
"Niacin from tryptophan, determined",0.0,0.0
Niacin equivalent N406 +N407,0.0,0.0
Pantothenic acid,0.0,0.0
"Vitamin B-6, pyridoxine, alcohol form",0.0,0.0
"Vitamin B-6, pyridoxal, aldehyde form",0.0,0.0
"Vitamin B-6, pyridoxamine, amine form",0.0,0.0
"Vitamin B-6, N411 + N412 +N413",0.0,0.0
Vitamin B-6,0.0,0.0
Biotin,0.0,0.0
"Folate, total",0.0,0.0
Vitamin B-12,0.0,0.0
"Folate, free",0.0,0.0
"Choline, total",0.0,0.0
Inositol,0.0,0.0
Inositol phosphate,0.0,0.0
Vitamin K (Menaquinone-4),0.0,0.0
Vitamin K (Dihydrophylloquinone),0.0,0.0
Vitamin K (phylloquinone),0.0,0.0
Folic acid,0.0,0.0
"Folate, food",0.0,0.0
5-methyl tetrahydrofolate (5-MTHF),0.0,0.0
"Folate, not 5-MTHF",0.0,0.0
"Folate, DFE",0.0,0.0
10-Formyl folic acid (10HCOFA),0.0,0.0
5-Formyltetrahydrofolic acid (5-HCOH4,0.0,0.0
Tetrahydrofolic acid (THF),0.0,0.0
"Choline, free",0.0,0.0
"Choline, from phosphocholine",0.0,0.0
"Choline, from phosphotidyl choline",0.0,0.0
"Choline, from glycerophosphocholine",0.0,0.0
Betaine,0.0,0.0
"Choline, from sphingomyelin",0.0,0.0
p-Hydroxy benzoic acid,0.0,0.0
Caffeic acid,0.0,0.0
p-Coumaric acid,0.0,0.0
Ellagic acid,0.0,0.0
Ferrulic acid,0.0,0.0
Gentisic acid,0.0,0.0
Tyrosol,0.0,0.0
Vanillic acid,0.0,0.0
"Phenolic acids, total",0.0,0.0
"Polyphenols, total",0.0,0.0
Tryptophan,0.0,0.0
Threonine,0.0,0.0
Isoleucine,0.0,0.0
Leucine,0.0,0.0
Lysine,0.0,0.0
Methionine,0.0,0.0
Cystine,0.0,0.0
Phenylalanine,0.0,0.0
Tyrosine,0.0,0.0
Valine,0.0,0.0
Arginine,0.0,0.0
Histidine,0.0,0.0
Alanine,0.0,0.0
Aspartic acid,0.0,0.0
Glutamic acid,0.0,0.0
Glycine,0.0,0.0
Proline,0.0,0.0
Serine,0.0,0.0
Hydroxyproline,0.0,0.0
Cysteine and methionine(sulfer containig AA),0.0,0.0
Phenylalanine and tyrosine (aromatic  AA),0.0,0.0
Asparagine,0.0,0.0
Cysteine,0.0,0.0
Glutamine,0.0,0.0
Taurine,0.0,0.0
"Sugars, added",0.0,0.0
"Sugars, intrinsic",0.0,0.0
"Calcium, added",0.0,0.0
"Iron, added",0.0,0.0
"Calcium, intrinsic",0.0,0.0
"Iron, intrinsic",0.0,0.0
"Vitamin C, added",0.0,0.0
"Vitamin E, added",0.0,0.0
"Thiamin, added",0.0,0.0
"Riboflavin, added",0.0,0.0
"Niacin, added",0.0,0.0
"Vitamin B-12, added",0.0,0.0
"Vitamin C, intrinsic",0.0,0.0
"Vitamin E, intrinsic",0.0,0.0
"Thiamin, intrinsic",0.0,0.0
"Riboflavin, intrinsic",0.0,0.0
"Niacin, intrinsic",0.0,0.0
"Vitamin B-12, intrinsic",0.0,0.0
Cholesterol,0.0,0.0
Glycerides,0.0,0.0
Phospholipids,0.0,0.0
Glycolipids,0.0,0.0
"Fatty acids, total trans",0.0,0.0
"Fatty acids, total saturated",0.0,0.0
SFA 4:0,0.0,0.0
SFA 6:0,0.0,0.0
SFA 8:0,0.0,0.0
SFA 10:0,0.0,0.0
SFA 12:0,0.0,0.0
SFA 14:0,0.0,0.0
SFA 16:0,0.0,0.0
SFA 18:0,0.0,0.0
SFA 20:0,0.0,0.0
MUFA 18:1,0.0,0.0
PUFA 18:2,0.0,0.0
PUFA 18:3,0.0,0.0
PUFA 20:4,0.0,0.0
PUFA 22:6 n-3 (DHA),0.0,0.0
SFA 22:0,0.0,0.0
MUFA 14:1,0.0,0.0
MUFA 16:1,0.0,0.0
PUFA 18:4,0.0,0.0
MUFA 20:1,0.0,0.0
PUFA 20:5 n-3 (EPA),0.0,0.0
MUFA 22:1,0.0,0.0
PUFA 22:5 n-3 (DPA),0.0,0.0
TFA 14:1 t,0.0,0.0
Phytosterols,0.0,0.0
Ergosterol,0.0,0.0
Stigmasterol,0.0,0.0
Campesterol,0.0,0.0
Brassicasterol,0.0,0.0
Beta-sitosterol,0.0,0.0
Campestanol,0.0,0.0
Unsaponifiable matter (lipids),0.0,0.0
"Fatty acids, other than 607-615, 617-621, 624-632, 652-654, 686-689)",0.0,0.0
"Fatty acids, total monounsaturated",0.0,0.0
"Fatty acids, total polyunsaturated",0.0,0.0
Beta-sitostanol,0.0,0.0
Delta-7-avenasterol,0.0,0.0
Delta-5-avenasterol,0.0,0.0
Alpha-spinasterol,0.0,0.0
"Phytosterols, other",0.0,0.0
SFA 15:0,0.0,0.0
SFA 17:0,0.0,0.0
SFA 24:0,0.0,0.0
Wax Esters(Total Wax),0.0,0.0
TFA 16:1 t,0.0,0.0
TFA 18:1 t,0.0,0.0
TFA 22:1 t,0.0,0.0
TFA 18:2 t not further defined,0.0,0.0
PUFA 18:2 i,0.0,0.0
"PUFA 18:2 t,c",0.0,0.0
"PUFA 18:2 c,t",0.0,0.0
"TFA 18:2 t,t",0.0,0.0
PUFA 18:2 CLAs,0.0,0.0
MUFA 24:1 c,0.0,0.0
"PUFA 20:2 n-6 c,c",0.0,0.0
MUFA 16:1 c,0.0,0.0
MUFA 18:1 c,0.0,0.0
"PUFA 18:2 n-6 c,c",0.0,0.0
MUFA 22:1 c,0.0,0.0
"Fatty acids, saturated, other",0.0,0.0
"Fatty acids, monounsat., other",0.0,0.0
"Fatty acids, polyunsat., other",0.0,0.0
"PUFA 18:3 n-6 c,c,c",0.0,0.0
SFA 19:0,0.0,0.0
MUFA 17:1,0.0,0.0
PUFA 16:2,0.0,0.0
PUFA 20:3,0.0,0.0
"Fatty acids, total sat., NLEA",0.0,0.0
"Fatty acids, total monounsat., NLEA",0.0,0.0
"Fatty acids, total polyunsat., NLEA",0.0,0.0
"Fatty acids, total trans-monoenoic",0.0,0.0
"Fatty acids, total trans-dienoic",0.0,0.0
"Fatty acids, total trans-polyenoic",0.0,0.0
SFA 13:0,0.0,0.0
MUFA 15:1,0.0,0.0
PUFA 22:2,0.0,0.0
SFA 11:0,0.0,0.0
"ORAC, Hydrophyllic",0.0,0.0
"ORAC, Lipophillic",0.0,0.0
"ORAC, Total",0.0,0.0
Total Phenolics,0.0,0.0
Daidzein,0.0,0.0
Genistein,0.0,0.0
Glycitein,0.0,0.0
Isoflavones,0.0,0.0
Biochanin A,0.0,0.0
Formononetin,0.0,0.0
Coumestrol,0.0,0.0
"Flavonoids, total",0.0,0.0
Anthocyanidins,0.0,0.0
