ID,Product,Format,Info,2022-09-07,2022-09-16,2022-11-06,2022-11-15,2022-11-25,2022-11-28,2022-12-05,2022-12-12,2022-12-20,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-31,2023-02-06,2023-02-13,2023-02-20,2023-02-28,2023-03-06,2023-03-13,2023-03-21,2023-03-27,2023-04-04,2023-04-15,2023-04-18,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-27,2023-07-03,2023-07-11,2023-07-17,2023-07-24,2023-07-31,2023-08-08,2023-08-29,2023-09-05,2023-09-11,2023-09-14,2023-09-26,2023-10-02,2023-10-11,2023-10-16,2023-10-24,2023-10-30
3028,Manzana Golden,,"Apple, raw",0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.189,,,,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.199,0.199,0.199,0.199
3313,Uva blanca sin semillas,,"Grapes, raw",0.399,,0.399,0.369,0.429,0.499,0.499,0.499,0.499,0.499,0.53,0.48,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.45,0.45,0.49,0.47,0.47,0.47,0.47,0.49,0.49,0.49,0.49,0.49,,0.46,0.46,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.399,0.399,0.399,0.399
3321,Uva roja sin semillas,,"Grapes, raw",0.399,,0.399,0.369,0.429,0.429,0.429,0.429,0.499,0.499,0.499,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.46,0.46,0.46,0.46,0.48,0.48,0.48,0.48,,,0.46,0.46,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.375,0.375,0.375,0.375
3388,Calabaza cacahuete,Pieza 870 g aprox.,"Pumpkin, cooked",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.154,0.154,0.154,0.154,,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.195,0.195,0.195,0.195,0.195,,,,0.185,0.185,,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185
3682,Pechugas enteras de pollo,,"Chicken breast, NS as to cooking method, skin not eaten",0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579
3824,Banana,Pieza 180 g aprox.,"Banana, raw",0.125,0.125,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.134,0.134,0.134,0.145,0.145,,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.109,0.145,0.145,0.145,0.109,0.145
3830,Aguacate,Pieza 280 g aprox.,"Avocado, raw",0.349,0.325,0.399,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.384,0.413,0.433,0.439,0.479,,0.479,0.479,0.479,0.479,0.479,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.419,0.419,0.419,0.379,0.379,0.379,0.299,,0.379,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.459,0.459,0.459,0.459,0.459,0.529
3961,Limas,400 g aprox.,"Lime juice, 100%, NS as to form",0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499
4117,Morcilla de cebolla,,Blood sausage,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.6,0.6
4590,Lomo de cerdo trozo,Pieza 800 g aprox.,"Pork roast, loin, cooked, NS as to fat eaten",0.395,0.395,0.395,0.395,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.445,0.445,0.445,0.445,0.445,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529
