,Child,Child,Male,Male,Male,Male,Male,
Nutrient,0-3,4-8,9-13,14-18,19-30,31-50,,
"Alcohol, ethyl [g]",,,,,,,,
Caffeine [mg],,,,,,,,
"Calcium, Ca [mg]",500,800,1100,1100,,,,
"Carbohydrate, by difference [g]",,,,,,,,
"Carotene, alpha [Âµg]",,,,,,,,
"Carotene, beta [Âµg]",,,,,,,,
Cholesterol [mg],,,,,,,,
"Choline, total [mg]",,,,,,,,
"Copper, Cu [mg]",,,,,,,,
"Cryptoxanthin, beta [Âµg]",,,,,,,,
Energy [kcal],,,,,,,,
"Fatty acids, total monounsaturated [g]",,,,,,,,
"Fatty acids, total polyunsaturated [g]",,,,,,,,
"Fatty acids, total saturated [g]",,,,,,,,
"Fiber, total dietary [g]",,,,,,,,
"Folate, DFE [Âµg]",,,,,,,,
"Folate, food [Âµg]",,,,,,,,
"Folate, total [Âµg]",,,,,,,,
Folic acid [Âµg],,,,,,,,
"Iron, Fe [mg]",,,,,,,,
Lutein + zeaxanthin [Âµg],,,,,,,,
Lycopene [Âµg],,,,,,,,
"Magnesium, Mg [mg]",,,,,,,,
MUFA 16:1 [g],,,,,,,,
MUFA 18:1 [g],,,,,,,,
MUFA 20:1 [g],,,,,,,,
MUFA 22:1 [g],,,,,,,,
Niacin [mg],,,,,,,,
"Phosphorus, P [mg]",,,,,,,,
"Potassium, K [mg]",,,,,,,,
Protein [g],,,,,,,,
PUFA 18:2 [g],,,,,,,,
PUFA 18:3 [g],,,,,,,,
PUFA 18:4 [g],,,,,,,,
PUFA 20:4 [g],,,,,,,,
PUFA 22:5 n-3 (DPA) [g],,,,,,,,
PUFA 22:6 n-3 (DHA) [g],,,,,,,,
PUFA 2:5 n-3 (EPA) [g],,,,,,,,
Retinol [Âµg],,,,,,,,
Riboflavin [mg],,,,,,,,
"Selenium, Se [Âµg]",,,,,,,,
SFA 10:0 [g],,,,,,,,
SFA 12:0 [g],,,,,,,,
SFA 14:0 [g],,,,,,,,
SFA 16:0 [g],,,,,,,,
SFA 18:0 [g],,,,,,,,
SFA 4:0 [g],,,,,,,,
SFA 6:0 [g],,,,,,,,
SFA 8:0 [g],,,,,,,,
"Sodium, Na [mg]",,,,,,,,
"Sugars, total including NLEA [g]",,,,,,,,
Theobromine [mg],,,,,,,,
Thiamin [mg],,,,,,,,
Total lipid (fat) [g],,,,,,,,
"Vitamin A, RAE [Âµg]",210,,,,,,,
Vitamin B-12 [Âµg],,,,,,,,
"Vitamin B-12, added [Âµg]",,,,,,,,
Vitamin B-6 [mg],,,,,,,,
"Vitamin C, total ascorbic acid [mg]",,,,,,,,
Vitamin D (D2 + D3) [Âµg],,,,,,,,
Vitamin E (alpha-tocopherol) [mg],,,,,,,,
"Vitamin E, added [mg]",,,,,,,,
Vitamin K (phylloquinone) [Âµg],,,,,,,,
Water [g],,,,,,,,
"Zinc, Zn [mg]",,,,,,,,
