Food,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy,"Alcohol, ethyl",Water,Caffeine,Theobromine,"Sugars, total including NLEA","Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Selenium, Se",Retinol,"Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Folic acid,"Folate, food","Folate, DFE","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated",SFA 4:0,SFA 6:0,SFA 8:0,SFA 10:0,SFA 12:0,SFA 14:0,SFA 16:0,SFA 18:0,MUFA 18:1,PUFA 18:2,PUFA 18:3,PUFA 20:4,PUFA 22:6 n-3 (DHA),MUFA 16:1,PUFA 18:4,MUFA 20:1,PUFA 2:5 n-3 (EPA),MUFA 22:1,PUFA 22:5 n-3 (DPA),"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
"Milk, human",1.03,4.38,6.89,70.0,0.0,87.5,0.0,0.0,6.89,0.0,32.0,0.03,3.0,14.0,51.0,17.0,0.17,0.052000000000000005,1.8,60.0,61.0,7.0,0.0,0.08,0.1,0.0,0.0,0.0,5.0,0.014,0.036000000000000004,0.177,0.011,5.0,0.05,16.0,0.3,0.0,5.0,5.0,0.0,0.0,14.0,2.01,0.0,0.0,0.0,0.063,0.256,0.321,0.919,0.293,1.48,0.374,0.052000000000000005,0.026000000000000002,0.0,0.129,0.0,0.04,0.0,0.0,0.0,1.6600000000000001,0.497
"Milk, NFS",3.34,1.99,4.87,51.0,0.0,89.0,0.0,0.0,4.89,0.0,126.0,0.0,12.0,103.0,157.0,39.0,0.42,0.001,1.9,58.0,59.0,4.0,0.0,0.03,1.1,0.0,0.0,0.0,0.1,0.057,0.137,0.11,0.06,1.0,0.56,17.9,0.2,0.0,1.0,1.0,0.0,0.0,8.0,1.16,0.043000000000000003,0.033,0.022,0.052000000000000005,0.06,0.19,0.537,0.194,0.433,0.069,0.007,0.003,0.0,0.03,0.0,0.002,0.0,0.0,0.001,0.426,0.065
"Milk, whole",3.2800000000000002,3.2,4.67,60.0,0.0,88.1,0.0,0.0,4.8100000000000005,0.0,123.0,0.0,12.0,101.0,150.0,38.0,0.41000000000000003,0.001,1.9,31.0,32.0,7.0,0.0,0.05,1.1,0.0,0.0,0.0,0.0,0.056,0.138,0.105,0.061,0.0,0.54,17.8,0.3,0.0,0.0,0.0,0.0,0.0,12.0,1.8599999999999999,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.6940000000000001,0.115,0.012,0.004,0.0,0.047,0.0,0.004,0.001,0.0,0.002,0.6880000000000001,0.108
"Milk, low sodium, whole",3.1,3.46,4.46,61.0,0.0,88.2,0.0,0.0,4.46,0.0,101.0,0.05,5.0,86.0,253.0,3.0,0.38,0.01,2.0,28.0,29.0,7.0,0.0,0.08,1.3,0.0,0.0,0.0,0.9,0.02,0.105,0.043000000000000003,0.034,5.0,0.36,16.0,0.3,0.0,5.0,5.0,0.0,0.0,14.0,2.15,0.112,0.066,0.039,0.08700000000000001,0.097,0.34800000000000003,0.91,0.419,0.87,0.078,0.05,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.999,0.128
"Milk, calcium fortified, whole",3.2800000000000002,3.2,4.67,60.0,0.0,88.1,0.0,0.0,4.8100000000000005,0.0,123.0,0.0,12.0,101.0,150.0,38.0,0.41000000000000003,0.001,1.9,31.0,32.0,7.0,0.0,0.05,1.1,0.0,0.0,0.0,0.0,0.056,0.138,0.105,0.061,0.0,0.54,17.8,0.3,0.0,0.0,0.0,0.0,0.0,12.0,1.8599999999999999,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.6940000000000001,0.115,0.012,0.004,0.0,0.047,0.0,0.004,0.001,0.0,0.002,0.6880000000000001,0.108
"Milk, calcium fortified, low fat (1%)",3.38,0.9500000000000001,5.19,43.0,0.0,89.7,0.0,0.0,4.96,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,2.1,58.0,58.0,1.0,0.0,0.02,1.1,0.0,0.0,0.0,0.0,0.057,0.14,0.113,0.06,2.0,0.61,17.4,0.1,0.0,2.0,2.0,0.0,0.0,5.0,0.5680000000000001,0.022,0.015,0.011,0.023,0.026000000000000002,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032
"Milk, calcium fortified, fat free (skim)",3.4,0.18,4.85,35.0,0.0,90.8,0.0,0.0,4.85,0.0,204.0,0.04,11.0,101.0,166.0,52.0,0.4,0.011,2.1,137.0,137.0,0.0,0.0,0.01,1.2,0.0,0.0,0.0,1.0,0.036000000000000004,0.14,0.088,0.04,5.0,0.38,16.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,0.117,0.009000000000000001,0.001,0.002,0.004,0.003,0.017,0.053,0.019,0.038,0.005,0.002,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.047,0.007
"Milk, reduced fat (2%)",3.35,1.9,4.91,50.0,0.0,89.1,0.0,0.0,4.89,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,1.8,83.0,83.0,3.0,0.0,0.03,1.1,0.0,0.0,0.0,0.2,0.059000000000000004,0.137,0.112,0.061,2.0,0.55,18.2,0.2,0.0,2.0,2.0,0.0,0.0,8.0,1.11,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.41000000000000003,0.061,0.007,0.003,0.0,0.029,0.0,0.002,0.0,0.0,0.001,0.4,0.058
"Milk, acidophilus, low fat (1%)",3.38,0.9500000000000001,5.19,43.0,0.0,89.7,0.0,0.0,4.96,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,2.1,58.0,58.0,1.0,0.0,0.02,1.1,0.0,0.0,0.0,0.0,0.057,0.14,0.113,0.06,2.0,0.61,17.4,0.1,0.0,2.0,2.0,0.0,0.0,5.0,0.5680000000000001,0.022,0.015,0.011,0.023,0.026000000000000002,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032
"Milk, acidophilus, reduced fat (2%)",3.35,1.9,4.91,50.0,0.0,89.1,0.0,0.0,4.89,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,1.8,83.0,83.0,3.0,0.0,0.03,1.1,0.0,0.0,0.0,0.2,0.059000000000000004,0.137,0.112,0.061,2.0,0.55,18.2,0.2,0.0,2.0,2.0,0.0,0.0,8.0,1.11,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.41000000000000003,0.061,0.007,0.003,0.0,0.029,0.0,0.002,0.0,0.0,0.001,0.4,0.058
"Milk, low fat (1%)",3.38,0.9500000000000001,5.19,43.0,0.0,89.7,0.0,0.0,4.96,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,2.1,58.0,58.0,1.0,0.0,0.02,1.1,0.0,0.0,0.0,0.0,0.057,0.14,0.113,0.06,2.0,0.61,17.4,0.1,0.0,2.0,2.0,0.0,0.0,5.0,0.5680000000000001,0.022,0.015,0.011,0.023,0.026000000000000002,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032
"Milk, fat free (skim)",3.43,0.08,4.89,34.0,0.0,90.8,0.0,0.0,5.05,0.0,132.0,0.0,12.0,107.0,167.0,41.0,0.45,0.002,2.0,64.0,64.0,2.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.056,0.131,0.11800000000000001,0.058,2.0,0.58,18.2,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.049,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009000000000000001,0.018000000000000002,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.006
"Milk, lactose free, low fat (1%)",3.38,0.9500000000000001,5.19,43.0,0.0,89.7,0.0,0.0,4.96,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,2.1,58.0,58.0,1.0,0.0,0.02,1.1,0.0,0.0,0.0,0.0,0.057,0.14,0.113,0.06,2.0,0.61,17.4,0.1,0.0,2.0,2.0,0.0,0.0,5.0,0.5680000000000001,0.022,0.015,0.011,0.023,0.026000000000000002,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032
"Milk, lactose free, fat free (skim)",3.43,0.08,4.89,34.0,0.0,90.8,0.0,0.0,5.05,0.0,132.0,0.0,12.0,107.0,167.0,41.0,0.45,0.002,2.0,64.0,64.0,2.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.056,0.131,0.11800000000000001,0.058,2.0,0.58,18.2,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.049,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009000000000000001,0.018000000000000002,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.006
"Milk, lactose free, reduced fat (2%)",3.35,1.9,4.91,50.0,0.0,89.1,0.0,0.0,4.89,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,1.8,83.0,83.0,3.0,0.0,0.03,1.1,0.0,0.0,0.0,0.2,0.059000000000000004,0.137,0.112,0.061,2.0,0.55,18.2,0.2,0.0,2.0,2.0,0.0,0.0,8.0,1.11,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.41000000000000003,0.061,0.007,0.003,0.0,0.029,0.0,0.002,0.0,0.0,0.001,0.4,0.058
"Milk, lactose free, whole",3.2800000000000002,3.2,4.67,60.0,0.0,88.1,0.0,0.0,4.8100000000000005,0.0,123.0,0.0,12.0,101.0,150.0,38.0,0.41000000000000003,0.001,1.9,31.0,32.0,7.0,0.0,0.05,1.1,0.0,0.0,0.0,0.0,0.056,0.138,0.105,0.061,0.0,0.54,17.8,0.3,0.0,0.0,0.0,0.0,0.0,12.0,1.8599999999999999,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.6940000000000001,0.115,0.012,0.004,0.0,0.047,0.0,0.004,0.001,0.0,0.002,0.6880000000000001,0.108
"Buttermilk, fat free (skim)",3.31,1.07,4.79,40.0,0.0,90.1,0.0,0.0,4.79,0.0,116.0,0.05,11.0,89.0,151.0,148.0,0.42,0.011,2.0,13.0,14.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.034,0.154,0.058,0.034,5.0,0.22,17.7,0.1,0.0,5.0,5.0,0.0,0.0,4.0,0.66,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.221,0.02,0.013000000000000001,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.254,0.033
"Buttermilk, low fat (1%)",3.31,1.07,4.79,40.0,0.0,90.1,0.0,0.0,4.79,0.0,116.0,0.05,11.0,89.0,151.0,148.0,0.42,0.011,2.0,13.0,14.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.034,0.154,0.058,0.034,5.0,0.22,17.7,0.1,0.0,5.0,5.0,0.0,0.0,4.0,0.66,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.221,0.02,0.013000000000000001,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.254,0.033
"Buttermilk, reduced fat (2%)",4.1,2.0,5.3,56.0,0.0,87.7,0.0,0.0,5.3,0.0,143.0,0.06,13.0,82.0,180.0,105.0,0.24,0.008,2.3,16.0,16.0,3.0,0.0,0.11,0.0,0.0,0.0,0.0,1.5,0.05,0.21,0.1,0.03,6.0,0.37,16.0,0.1,0.0,6.0,6.0,0.0,0.0,8.0,1.24,0.061,0.04,0.02,0.051000000000000004,0.061,0.202,0.525,0.242,0.505,0.04,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,0.07100000000000001
"Buttermilk, whole",3.21,3.31,4.88,62.0,0.0,87.9,0.0,0.0,4.88,0.0,115.0,0.03,10.0,85.0,135.0,105.0,0.38,0.025,3.7,46.0,47.0,7.0,0.0,0.07,1.3,0.0,0.0,0.0,0.0,0.047,0.17200000000000001,0.09,0.036000000000000004,5.0,0.46,14.6,0.3,0.0,5.0,5.0,0.0,0.0,11.0,1.9,0.076,0.076,0.076,0.076,0.078,0.302,0.844,0.371,0.8270000000000001,0.122,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8270000000000001,0.198
"Kefir, NS as to fat content",3.59,0.96,7.48,52.0,0.0,87.3,0.0,0.0,6.91,0.0,124.0,0.04,12.0,100.0,159.0,38.0,0.45,0.009000000000000001,3.6,174.0,174.0,2.0,0.0,0.04,1.0,0.0,0.0,0.0,0.8,0.03,0.17200000000000001,0.128,0.059000000000000004,18.0,0.3,15.2,0.6,0.0,18.0,18.0,0.0,0.0,5.0,0.596,0.027,0.016,0.007,0.02,0.026000000000000002,0.094,0.28,0.106,0.252,0.038,0.006,0.002,0.0,0.019,0.0,0.004,0.0,0.0,0.001,0.28600000000000003,0.047
"Goat's milk, whole",3.56,4.14,4.45,69.0,0.0,87.0,0.0,0.0,4.45,0.0,134.0,0.05,14.0,111.0,204.0,50.0,0.3,0.046,1.4,56.0,57.0,7.0,0.0,0.07,1.3,0.0,0.0,0.0,1.3,0.048,0.138,0.277,0.046,1.0,0.07,16.0,0.3,0.0,1.0,1.0,0.0,0.0,11.0,2.67,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.977,0.109,0.04,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,1.11,0.149
"Milk, dry, reconstituted, NS as to fat content",3.2,0.07,4.6,32.0,0.0,91.3,0.0,0.0,4.6,0.0,114.0,0.03,11.0,86.0,159.0,51.0,0.37,0.013000000000000001,2.4,58.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.037,0.137,0.084,0.032,4.0,0.36,15.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.044,0.002,0.001,0.001,0.002,0.001,0.007,0.021,0.008,0.015,0.002,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.003
"Milk, dry, reconstituted, whole",4.01,4.08,5.86,76.0,0.0,85.0,0.0,0.0,5.86,0.0,142.0,0.07,14.0,118.0,203.0,60.0,0.52,0.021,2.5,39.0,39.0,8.0,0.0,0.09,1.6,0.0,0.0,0.0,1.3,0.043000000000000003,0.184,0.099,0.046,6.0,0.5,18.2,0.3,0.0,6.0,6.0,0.0,0.0,15.0,2.55,0.132,0.037,0.041,0.091,0.094,0.43,1.15,0.435,0.9450000000000001,0.07,0.031,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,1.21,0.101
"Milk, dry, reconstituted, low fat (1%)",3.17,1.01,4.55,40.0,0.0,90.5,0.0,0.0,4.55,0.0,113.0,0.03,11.0,85.0,157.0,51.0,0.37,0.013000000000000001,2.4,65.0,65.0,2.0,0.0,0.03,1.0,0.0,0.0,0.0,0.6,0.036000000000000004,0.136,0.083,0.032,4.0,0.35000000000000003,15.0,0.1,0.0,4.0,4.0,0.0,0.0,4.0,0.633,0.033,0.019,0.011,0.025,0.028,0.10300000000000001,0.27,0.122,0.253,0.023,0.015,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.291,0.038
